Book1 Author1 320
Book2 Author2 450
Book3 Author3 300
Book4 Author4 120
Book5 Author5 250
Book6 Author6 370
Book7 Author7 420
Book8 Author8 310
Book9 Author9 150
Book10 Author10 280
Book11 Author11 330
Book12 Author12 290
Book13 Author13 400
Book14 Author14 380
Book15 Author15 260
Book16 Author16 410
Book17 Author17 360
Book18 Author18 440
Book19 Author19 210
Book20 Author20 390
Book21 Author21 470
Book22 Author22 340
Book23 Author23 270
Book24 Author24 300
Book25 Author25 230
Book26 Author26 240
Book27 Author27 350
Book28 Author28 420
Book29 Author29 310
Book30 Author30 150
Book31 Author31 280
Book32 Author32 330
Book33 Author33 290
Book34 Author34 400
Book35 Author35 380
Book36 Author36 260
Book37 Author37 410
Book38 Author38 360
Book39 Author39 440
Book40 Author40 210
Book41 Author41 390
Book42 Author42 470
Book43 Author43 340
Book44 Author44 270
Book45 Author45 300
Book46 Author46 230
Book47 Author47 240
Book48 Author48 350
Book49 Author49 420
Book50 Author50 310
Book51 Author51 150
Book52 Author52 280
Book53 Author53 330
Book54 Author54 290
Book55 Author55 400
Book56 Author56 380
Book57 Author57 260
Book58 Author58 410
Book59 Author59 360
Book60 Author60 440
Book61 Author61 210
Book62 Author62 390
Book63 Author63 470
Book64 Author64 340
Book65 Author65 270
Book66 Author66 300
Book67 Author67 230
Book68 Author68 240
Book69 Author69 350
Book70 Author70 420
